站牌名稱,緯度,經度,站牌ID
指南客運樹林站,24.972523,121.3996193,2386900340
新興街口,24.974397,121.400301,2386900220
山佳國小,24.975625,121.401953,2387200000
東山,24.97919,121.40695,2385000020
南樹林火車站,24.979984,121.4087873,2385000120
東昇福德宮,24.982578,121.412604,2384600300
東昇公園,24.984168,121.415842,2384600820
中山備前街口,24.985275,121.418065,2384400420
樹林仁愛醫院,24.98764,121.42122,2384400500
育英街口(天主堂),24.989525,121.422411,2384400300
樹林後火車站,24.991841,121.423739,2384400600
中山路口,24.993297,121.424598,2384400200
濟安宮(樹新路),24.994232,121.4269598,2384100300
樹林藝文綜合行政大樓,24.995638,121.42796,2384700500
十三公,24.998244,121.430021,2384700000
圳福里,25.000554,121.431245,2384700200
許厝,25.002077,121.432111,2426201000
大唐江山,25.007867,121.431869,2426400100
民安西路403巷口,25.009369,121.4299139,2426400200
光華街口,25.010565,121.4284024,2426400500
新寶社區,25.012548,121.4263087,2426400900
光明里,25.014531,121.4260504,2426400300
光華國小(民安西路),25.016748,121.426301,2426400400
福祿新城一,25.018631,121.426917,2426401000
福祿新城二,25.02033,121.427412,2426700800
民安國小,25.020925,121.427927,2426600120
民安站,25.020634,121.430343,2426600020
勞工活動中心,25.02035,121.433273,2424701120
新樹民安路口(新泰醫院),25.021865,121.4348185,2426201200
北華,25.026907,121.437541,2426200100
石龜,25.029512,121.4386329,2426200400
新樹路口,25.032954,121.4408296,2426201300
盲人重建院,25.0337,121.4406316,2425500260
捷運輔大站,25.032897,121.4359666,2425500561
捷運輔大站(建國一路),25.031472,121.43385,2425701140
建國一路,25.029839,121.4345539,2425700440
建國後港路口,25.027194,121.43477,2425702040
建國二路口,25.024483,121.434908,2426201140
新樹民安路口(新泰醫院),25.021698,121.4345132,2426201240
勞工活動中心,25.020492,121.4331789,2424701160
民安站,25.020838,121.4302215,2426600060
民安國小,25.021046,121.4278873,2426600160
福祿新城二,25.020456,121.4272815,2426401140
福祿新城一,25.018738,121.4268159,2426401040
光華國小(民安西路),25.01724,121.42625,2426400440
光明里,25.01439,121.4258116,2426400340
新寶社區,25.012681,121.4260776,2426400940
光華街口,25.010583,121.428101,2426400540
民安西路403巷口,25.009224,121.429871,2426400240
大唐江山,25.007896,121.431591,2426400140
許厝,25.00196,121.43183,2426201040
圳福里,25.000126,121.43087,2384700240
十三公,24.998348,121.429919,2384700040
樹林藝文綜合行政大樓,24.995035,121.427318,2384700540
濟安宮(樹新路),24.994234,121.4267324,2384700640
中山路口,24.993255,121.4243668,2384400240
樹林後火車站,24.991726,121.423475,2384400650
育英街口(天主堂),24.989548,121.422148,2384400340
樹林仁愛醫院,24.987872,121.421124,2384400540
中山備前街口,24.985553,121.418267,2384400460
東昇公園,24.983992,121.415139,2384600860
東昇福德宮,24.98298,121.411946,2384600340
南樹林火車站,24.98013,121.40858,2385000160
東山,24.9792,121.406613,2385000060
山佳國小,24.975931,121.402015,2384400040
新興街口,24.974315,121.400151,2386900260
指南客運樹林站,24.972523,121.3996193,2386900340
